,description,edam_topics,help,id,inputs,name,outputs
22,Check sample identity,,                                        bcftools  EXECUTABLE                                         Check sample identity  With no  g BCF given  multi sample cross check is performed    REGIONS HELP   TARGETS HELP    BCFTOOLS MANPAGE   EXECUTABLE    BCFTOOLS WIKI        ,bcftools_@EXECUTABLE@,"vcf,bcf",bcftools @EXECUTABLE@,tabular
23,"Create intersections, unions and complements of VCF files",,                                        bcftools  EXECUTABLE                                         Create intersections  unions and complements of VCF files    COLLAPSE HELP   REGIONS HELP   TARGETS HELP   EXPRESSIONS HELP    BCFTOOLS MANPAGE   EXECUTABLE    BCFTOOLS WIKI       ,bcftools_@EXECUTABLE@,,bcftools @EXECUTABLE@,
24,Merge multiple VCF/BCF files from non-overlapping sample sets to create one multi-sample file,,                                        bcftools  EXECUTABLE                                          Merge multiple VCF BCF files from non overlapping sample sets to create one multi sample file    Note that only records from different files can be merged  never from the same file   For  vertical  merge take a look at  bcftools norm  instead    REGIONS HELP    BCFTOOLS MANPAGE   EXECUTABLE    BCFTOOLS WIKI       ,bcftools_@EXECUTABLE@,vcf,bcftools @EXECUTABLE@,
25,Generate VCF or BCF containing genotype likelihoods for one or multiple alignment (BAM or CRAM) files,,                                        bcftools  EXECUTABLE                                         Haplotype aware consequence predictor which correctly handles combined variants such as MNPs split over multiple VCF records  SNPs separated by an intron  but adjacent in the spliced transcript  or nearby frame shifting indels which in combination in fact are not frame shifting   The output VCF is annotated with INFO BCSQ and FORMAT BCSQ tag  configurable with the  c option   The latter is a bitmask of indexes to INFO BCSQ  with interleaved haplotypes  See the usage examples below for using the  TBCSQ converter in query for extracting a more human readable form from this bitmask,bcftools_@EXECUTABLE@,"bam,cram,fasta,txt",bcftools @EXECUTABLE@,
26,Left-align and normalize indels; check if REF alleles match the reference; split multiallelic sites into multiple rows; recover multiallelics from multiple rows,,                                        bcftools  EXECUTABLE                                          Left align and normalize indels  check if REF alleles match the reference  split multiallelic sites into multiple rows  recover multiallelics from multiple rows    REGIONS HELP   TARGETS HELP    BCFTOOLS MANPAGE   EXECUTABLE    BCFTOOLS WIKI       ,bcftools_@EXECUTABLE@,,bcftools @EXECUTABLE@,
27,"plugin Color shared chromosomal segments, requires phased GTs",,                                        bcftools  EXECUTABLE  plugin                                         REGIONS HELP   TARGETS HELP   EXPRESSIONS HELP    ,bcftools_plugin_@PLUGIN_ID@,,bcftools @EXECUTABLE@,svg
28,"plugin  counts number of samples, SNPs, INDELs, MNPs and total sites",,                                        bcftools  EXECUTABLE  plugin                                        Counts number of samples  SNPs  INDELs  MNPs and total number of sites    REGIONS HELP   TARGETS HELP   EXPRESSIONS HELP         ,bcftools_plugin_@PLUGIN_ID@,,bcftools @EXECUTABLE@,tabular
29,plugin genotype dosage,,                                        bcftools  EXECUTABLE  plugin                                         REGIONS HELP   TARGETS HELP   EXPRESSIONS HELP       ,bcftools_plugin_@PLUGIN_ID@,,bcftools @EXECUTABLE@,tabular
30,plugin Fill INFO fields AN and AC,,                                        bcftools  EXECUTABLE  plugin                                         REGIONS HELP   TARGETS HELP   EXPRESSIONS HELP       ,bcftools_plugin_@PLUGIN_ID@,,bcftools @EXECUTABLE@,
31,"plugin Set INFO tags AF, AN, AC, AC_Hom, AC_Het, AC_Hemi",,                                        bcftools  EXECUTABLE  plugin                                         REGIONS HELP   TARGETS HELP   EXPRESSIONS HELP       ,bcftools_plugin_@PLUGIN_ID@,,bcftools @EXECUTABLE@,
32,plugin  Fix ploidy,,                                        bcftools  EXECUTABLE  plugin                                         REGIONS HELP   TARGETS HELP   EXPRESSIONS HELP       ,bcftools_plugin_@PLUGIN_ID@,tabular,bcftools @EXECUTABLE@,
33,plugin Annotate frameshift indels,,                                        bcftools  EXECUTABLE  plugin                                         REGIONS HELP   TARGETS HELP   EXPRESSIONS HELP       ,bcftools_plugin_@PLUGIN_ID@,bed,bcftools @EXECUTABLE@,
34,plugin Add imputation information metrics to the INFO field,,                                        bcftools  EXECUTABLE  plugin                                         REGIONS HELP   TARGETS HELP   EXPRESSIONS HELP       ,bcftools_plugin_@PLUGIN_ID@,,bcftools @EXECUTABLE@,
35,plugin Count Mendelian consistent / inconsistent genotypes,,                                        bcftools  EXECUTABLE  plugin                                         REGIONS HELP   TARGETS HELP   EXPRESSIONS HELP       ,bcftools_plugin_@PLUGIN_ID@,txt,bcftools @EXECUTABLE@,
36,plugin Set missing genotypes,,                                        bcftools  EXECUTABLE  plugin                                         REGIONS HELP   TARGETS HELP   EXPRESSIONS HELP       ,bcftools_plugin_@PLUGIN_ID@,,bcftools @EXECUTABLE@,
37,plugin Sets genotypes,,                                        bcftools  EXECUTABLE  plugin                                         REGIONS HELP   TARGETS HELP   EXPRESSIONS HELP       ,bcftools_plugin_@PLUGIN_ID@,,bcftools @EXECUTABLE@,
38,"plugin Convert between similar tags, such as GL and GP",,                                        bcftools  EXECUTABLE  plugin                                         REGIONS HELP   TARGETS HELP   EXPRESSIONS HELP       ,bcftools_plugin_@PLUGIN_ID@,,bcftools @EXECUTABLE@,
39,Extracts fields from VCF/BCF file and prints them in user-defined format,,                                         bcftools  EXECUTABLE                                         Extracts fields from VCF BCF file and prints them in user defined format    Format                CHROM            The CHROM column  similarly also other columns  POS  ID  REF  ALT  QUAL  FILTER         INFO TAG         Any tag in the INFO column        TYPE             Variant type  REF  SNP  MNP  INDEL  OTHER         MASK             Indicates presence of the site in other files  with multiple files         TAG INT          Curly brackets to subscript vectors  0 based         FIRST ALT        Alias for  ALT 0                          The brackets loop over all samples        GT               Genotype  e g  0 1         TBCSQ            Translated FORMAT BCSQ  See the csq command above for explanation and examples,bcftools_@EXECUTABLE@,,bcftools @EXECUTABLE@,txt
40,in VCF/BCF file,,                                        bcftools List Samples  EXECUTABLE                                         Lists Samples from a VCF BCF file   BCFTOOLS MANPAGE   EXECUTABLE    BCFTOOLS WIKI       ,bcftools_@EXECUTABLE@_list_samples,,bcftools List Samples,tabular
41,"Modify header of VCF/BCF files, change sample names",,                                         bcftools  EXECUTABLE                                         Modify header of VCF BCF files  change sample names    BCFTOOLS MANPAGE   EXECUTABLE    BCFTOOLS WIKI       ,bcftools_@EXECUTABLE@,"vcf,tabular",bcftools @EXECUTABLE@,
42,HMM model for detecting runs of homo/autozygosity,,                                        bcftools  EXECUTABLE                                         HMM model for detecting runs of autozygosity    REGIONS HELP   TARGETS HELP    BCFTOOLS MANPAGE   EXECUTABLE    BCFTOOLS WIKI      ,bcftools_@EXECUTABLE@,data,bcftools @EXECUTABLE@,tabular
43,Parses VCF or BCF and produces stats which can be plotted using plot-vcfstats,,                                        bcftools  EXECUTABLE                                         Parses VCF or BCF and produces stats which can be plotted using plot vcfstats    When two files are given  the program generates separate stats for intersection and the complements   By default only sites are compared   s  S must given to include also sample columns    COLLAPSE HELP   REGIONS HELP   TARGETS HELP   EXPRESSIONS HELP    BCFTOOLS MANPAGE   EXECUTABLE    BCFTOOLS WIKI   ,bcftools_@EXECUTABLE@,tabular,bcftools @EXECUTABLE@,"txt,pdf"
44,"VCF/BCF conversion, view, subset and filter VCF/BCF files",,                                        bcftools  EXECUTABLE                                         VCF BCF conversion  view  subset and filter VCF BCF files    REGIONS HELP   TARGETS HELP   EXPRESSIONS HELP    BCFTOOLS MANPAGE   EXECUTABLE    BCFTOOLS WIKI       ,bcftools_@EXECUTABLE@,,bcftools @EXECUTABLE@,
45,from regular barcodes.,,  bctools   Create binary barcodes from regular barcodes                                                         This tool converts standard nucleotide codes to the IUPAC nucleotide codes used for binary barcodes  A and G are converted to nucleotide code R  T  U and C are converted to Y   Input        The input for this tool is a FASTQ file,bctools_convert_to_binary_barcode,fastq,Create binary barcodes,fastq
46,from full alignments,,  bctools   Get crosslinked nucleotides from full alignments                                                             Given coordinates of aligned reads in BED format  calculate positions of the crosslinked nucleotides  Crosslinked nts are assumed to be one nt upstream of the 5  end of the read   Input          six column BED file containing coordinates of aligned reads  Output           six column BED file containing coordinates of crosslinking events      ,bctools_extract_crosslinked_nucleotides,bed,Get crosslinked nucleotides,bed
47,from SAM or BAM,,  bctools   Extract alignment ends from from SAM or BAM alignments                                                                   The resulting BED file contains the outer coordinates of the alignments  The BED name field is set to the read id and the score field is set to the edit distance of the alignment  The crosslinked nucleotide is one nt upstream of the 5  end of the BED entries   This tool only reports results for alignments that are properly aligned in FR   forward reverse   direction,bctools_extract_alignment_ends,"sam,bam",Extract alignment ends,bed
48,according to pattern,,  bctools   Extract barcodes according to pattern                                                  Exract barcodes from a FASTQ file according to a user specified pattern and write them to a separate FASTQ file       ,bctools_extract_barcodes,fastq,Extract barcodes,fastq
49,according to UMIs,,  bctools   Merge PCR duplicates according to UMIs                                                   Merge PCR duplicates according to unique molecular identifier  UMI  library  All alignments with same outer coordinates and barcode will be merged into a single crosslinking event   Barcodes containing uncalled base  N  are removed   Input            BED6 file containing alignments with FASTQ read id in name field   FASTQ library of UMIs  Output             BED6 file with a read id from a representative alignment in the name field and number of PCR duplicates as score  sorted by fields chrom  start  stop  strand  name      ,bctools_merge_pcr_duplicates,"bed,fastq",Merge PCR duplicates,bed
50,from FASTQ,,  bctools   Remove 3  end nts from FASTQ                                         Remove a certain number of nucleotides from the 3  tails of sequences in FASTQ format       ,bctools_remove_tail,fastq,Remove 3'-end nts,fastq
51,crosslinking events,,  bctools   Remove spurious events originating from errors in unique molecular identifiers  UMIs                                                                                                   This tool compares all events sharing the same coordinates  Among each group of events the maximum number of PCR duplicates is determined  By default  all events that are supported by less than 10 percent of this maximum count are removed   Input          BED6 containing crosslinking events with score field set to number of PCR duplicates  Output           BED6 with spurious crosslinking events removed  sorted by fields chrom  start  stop  strand      ,bctools_remove_spurious_events,bed,Remove spurious,bed
52,annotate coverage of features from multiple files,,bedtools annotate  well  annotates one BED VCF GFF file with the coverage and number of overlaps observed from multiple other BED VCF GFF files  In this way  it allows one to ask to what degree one feature coincides with multiple other feature types with a single command ,bedtools_annotatebed,"bed,vcf,gff,gff3,bed",AnnotateBed,bed
53,converter,,bedtools bamtobed is a conversion utility that converts sequence alignments in BAM format into BED  BED12  and or BEDPE records ,bedtools_bamtobed,bam,BAM to BED,bed
54,,,bedtools bamtofastq is a conversion utility for extracting FASTQ records from sequence alignments in BAM format ,bedtools_bamtofastq,bam,Convert from BAM to FastQ,fastq
55,converter,,bed12ToBed6 is a convenience tool that converts BED features in BED12  a k a   blocked  BED features such as genes  to discrete BED6 features,bedtools_bed12tobed6,bed,BED12 to BED6,bed
56,converter,,bedToBam converts features in a feature file to BAM format  This is useful as an efficient means of storing large genome annotations in a compact  indexed format for visualization purposes ,bedtools_bedtobam,bed,BED to BAM,bam
57,create batch script for taking IGV screenshots,,Creates a batch script to create IGV images at each interval defined in a BED GFF VCF file ,bedtools_bedtoigv,"bed,gff,gff3,vcf",BED to IGV,txt
58,converter,,Converts feature records to BAM format ,bedtools_bedpetobam,"bed,gff,vcf",BEDPE to BAM,bam
59,"find the closest, potentially non-overlapping interval",,Similar to intersectBed  closestBed searches for overlapping features in A and B  In the event that no feature in B overlaps the current feature in A  closestBed will report the closest  that is  least genomic distance from the start or end of A  feature in B  For example  one might want to find which is the closest gene to a significant GWAS polymorphism  Note that closestBed will report an overlapping feature as the closest that is  it does not restrict to closest non overlapping feature,bedtools_closestbed,"bed,vcf,gff,gff3,bed,gff,vcf,gff3",ClosestBed,
60,cluster overlapping/nearby intervals,,Similar to merge  cluster report each set of overlapping or  book ended  features in an interval file  In contrast to merge  cluster does not flatten the cluster of intervals into a new meta interval  instead  it assigns an unique cluster ID to each record in each cluster  This is useful for having fine control over how sets of overlapping intervals in a single interval file are combined ,bedtools_clusterbed,"bed,vcf,gff,gff3",ClusterBed,
61,Extract intervals not represented by an interval file,,bedtools complement returns all intervals in a genome that are not covered by at least one interval in the input BED GFF VCF file ,bedtools_complementbed,"bed,vcf,gff,gff3",ComplementBed,
62,of features in file B on the features in file A (bedtools coverage),, bedtools coverage   computes both the  depth  and  breadth  of coverage of features in file B on the features in file A  For example    bedtools coverage   can compute the coverage of sequence alignments  file B  across 1 kilobase  arbitrary  windows  file A  tiling a genome of interest  One advantage that   bedtools coverage   offers is that it not only  counts  the number of features that overlap an interval in file A  it also computes the fraction of bases in the interval in A that were overlapped by one or more features  Thus    bedtools coverage   also computes the  breadth  of coverage for each interval in A,bedtools_coveragebed,"bam,bed,gff,gff3,vcf",Compute both the depth and breadth of coverage,bed
63,replicate lines based on lists of values in columns,,Replicate lines in a file based on columns of comma separated values ,bedtools_expandbed,"bed,vcf,gff,gff3",ExpandBed,
64,calculate Fisher statistic between two feature files,,Perform fisher s exact test on the number of overlaps unique intervals between 2 files ,bedtools_fisher,"bed,vcf,gff,gff3,bed,gff,vcf,gff3",FisherBed,
65,create new intervals from the flanks of existing intervals,,bedtools flank will optionally create flanking intervals whose size is user specified fraction of the original interval ,bedtools_flankbed,"bed,vcf,gff,gff3",FlankBed,
66,compute the coverage over an entire genome,,This tool calculates the genome wide coverage of intervals defined in a BAM or BED file and reports them in BedGraph format ,bedtools_genomecoveragebed,"bed,vcf,gff,gff3,bam",Genome Coverage,bedgraph
67,use intervals to extract sequences from a FASTA file,,bedtools getfasta will extract the sequence defined by the coordinates in a BED interval and create a new FASTA entry in the output file for each extracted sequence  By default  the FASTA header for each extracted sequence will be formatted as follows    chrom   lt start   lt end   ,bedtools_getfastabed,"bed,vcf,gff,gff3,fasta",GetFastaBed,fasta
68,group by common cols and summarize other cols,,Replicate lines in a file based on columns of comma separated values ,bedtools_groupbybed,bed,GroupByBed,
69,find overlapping intervals in various ways,,By far  the most common question asked of two sets of genomic features is whether or not any of the features in the two sets  overlap  with one another  This is known as feature intersection  bedtools intersect allows one to screen for overlaps between two sets of genomic features  Moreover  it allows one to have fine control as to how the intersections are reported,bedtools_intersectbed,"bed,bam,vcf,gff,gff3,bam,bed,gff,gff3,vcf",Intersect intervals,
70,calculate the distribution of relative distances between two files,,By default  bedtools jaccard reports the length of the intersection  the length of the union  minus the intersection   the final Jaccard statistic reflecting the similarity of the two sets  as well as the number of intersections  Whereas the bedtools intersect tool enumerates each an every intersection between two sets of genomic intervals  one often needs a single statistic reflecting the similarity of the two sets based on the intersections between them  The Jaccard statistic is used in set theory to represent the ratio of the intersection of two sets to the union of the two sets  Similarly  Favorov et al  1  reported the use of the Jaccard statistic for genome intervals  specifically  it measures the ratio of the number of intersecting base pairs between two sets to the number of base pairs in the union of the two sets,bedtools_jaccard,"bed,vcf,gff,gff3",JaccardBed,
71,create a HTML page of links to UCSC locations,,Creates an HTML file with links to an instance of the UCSC Genome Browser for all features   intervals in a file  This is useful for cases when one wants to manually inspect through a large set of annotations or features ,bedtools_links,"bed,vcf,gff,gff3",LinksBed,html
72,make interval windows across a genome,,Makes adjacent or sliding windows across a genome or BED file ,bedtools_makewindowsbed,"bed,vcf,gff,gff3",MakeWindowsBed,bed
73,apply a function to a column for each overlapping interval,,bedtools map allows one to map overlapping features in a B file onto features in an A file and apply statistics and or summary operations on those features ,bedtools_map,"bam,bed,vcf,gff,gff3,bam,bed,gff,vcf,gff3",MapBed,
74,use intervals to mask sequences from a FASTA file,,bedtools maskfasta masks sequences in a FASTA file based on intervals defined in a feature file  The headers in the input FASTA file must exactly match the chromosome column in the feature file  This may be useful fro creating your own masked genome file based on custom annotations or for masking all but your target regions when aligning sequence data from a targeted capture experiment ,bedtools_maskfastabed,"bed,vcf,gff,gff3,fasta",MaskFastaBed,fasta
75,combine overlapping/nearby intervals into a single interval,,bedtools merge combines overlapping or  book ended  features in an interval file into a single feature which spans all of the combined features ,bedtools_mergebed,"bam,bed,gff,vcf",MergeBED,bed
76,counts coverage from multiple BAMs at specific intervals,,bedtools multicov  reports the count of alignments from multiple position sorted and indexed BAM files that overlap intervals in a BED file  Specifically  for each BED interval provided  it reports a separate count of overlapping alignments from each BAM file ,bedtools_multicovtbed,"bed,bam",MultiCovBed,
77,identifies common intervals among multiple interval files,,This tool identifies common intervals among multiple  sorted BED files  Intervals can be common among 0 to N of the N input BED files ,bedtools_multiintersectbed,bed,Multiple Intersect,bed
78,profile the nucleotide content of intervals in a FASTA file,,Profiles the nucleotide content of intervals in a fasta file ,bedtools_nucbed,"bed,vcf,gff,gff3,fasta",NucBed,tabular
79,computes the amount of overlap from two intervals,,overlap computes the amount of overlap  in the case of positive values  or distance  in the case of negative values  between feature coordinates occurring on the same input line and reports the result at the end of the same line  In this way  it is a useful method for computing custom overlap scores from the output of other BEDTools ,bedtools_overlapbed,"bed,vcf,gff,gff3",OverlapBed,
80,generate random intervals in a genome,,bedtools random will generate a random set of intervals in BED6 format  One can specify both the number   n  and the size   l  of the intervals that should be generated ,bedtools_randombed,,RandomBed,bed
81,calculate the distribution of relative distances,,Traditional approaches to summarizing the similarity between two sets of genomic intervals are based upon the number or proportion of intersecting intervals  However  such measures are largely blind to spatial correlations between the two sets where  dpesite consistent spacing or proximity  intersections are rare  for example  enhancers and transcription start sites rarely overlap  yet they are much closer to one another than two sets of random intervals   Favorov et al proposed a relative distance metric that describes distribution of relative distances between each interval in one set nd the two closest intervals in another set  see figure above   If there is no spatial correlation between the two sets  one would expect the relative distances to be uniformaly distributed among the relative distances ranging from 0 to 0,bedtools_reldistbed,"bed,bam,vcf,gff,gff3,bed,gff,vcf,gff3",ReldistBed,
82,randomly redistrubute intervals in a genome,,bedtools shuffle will randomly permute the genomic locations of a feature file among a genome defined in a genome file  One can also provide an  exclusions  BED GFF VCF file that lists regions where you do not want the permuted features to be placed  For example  one might want to prevent features from being placed in known genome gaps  shuffle is useful as a null basis against which to test the significance of associations of one feature with another,bedtools_shufflebed,"bed,vcf,gff,gff3,bed",ShuffleBed,bed
83,adjust the size of intervals,,bedtools slop will increase the size of each feature in a feature file by a user defined number of bases  While something like this could be done with an awk   OFS   t  print  1  2  lt slop   3  lt slop     bedtools slop will restrict the resizing to the size of the chromosome  i e  no start  lt  0 and no end   chromosome size ,bedtools_slopbed,"bed,vcf,gff,gff3",SlopBed,bed
84,order the intervals,,Sorts a feature file by chromosome and other criteria ,bedtools_sortbed,"bed,gff,gff3,vcf",SortBED,
85,reports the distances between features,,Report the spacing between intervals in a file ,bedtools_spacingbed,"bed,vcf,gff,gff3,bam",SpacingBed,
86,remove intervals based on overlaps,,bedtools subtract searches for features in B that overlap A  If an overlapping feature is found in B  the overlapping portion is removed from A and the remaining portion of A is reported  If a feature in B overlaps all of a feature in A  the A feature will not be reported ,bedtools_subtractbed,"bed,vcf,gff,gff3,bed,gff,vcf,gff3",SubtractBed,
87,tag BAM alignments based on overlaps with interval files,,Annotates a BAM file based on overlaps with multiple BED GFF VCF files on the intervals in an input bam file,bedtools_tagbed,"bam,bed,gff,vcf",TagBed,bam
88,combines coverage intervals from multiple BEDGRAPH files,,This tool merges multiple BedGraph files  allowing direct and fine scale coverage comparisons among many samples files  The BedGraph files need not represent the same intervals  the tool will identify both common and file specific intervals  In addition  the BedGraph values need not be numeric  one can use any text as the BedGraph value and the tool will compare the values from multiple files ,bedtools_unionbedgraph,bedgraph,Merge BedGraph files,bedgraph
89,find overlapping intervals within a window around an interval,,Similar to bedtools intersect  window searches for overlapping features in A and B  However  window adds a specified number  1000  by default  of base pairs upstream and downstream of each feature in A  In effect  this allows features in B that are  near  features in A to be detected ,bedtools_windowbed,"bed,bam,vcf,gff,gff3,bed,gff,vcf,gff3",WindowBed,
90,to a BIOM table,,  Usage  biom add metadata  OPTIONS     Add metadata to a BIOM table     Add sample and or observation metadata to BIOM formatted files  See   examples here   org documentation adding metadata,biom_add_metadata,"biom1,tabular",Add metadata,biom1
91,between BIOM table formats,,  Usage  biom convert  OPTIONS       Convert to from the BIOM table format     Convert between BIOM table formats  See examples here   org documentation biom conversion,biom_convert,"tabular,biom1",Convert,biom1
92,from a vsearch/uclust/usearch BIOM file,, Create a BIOM table from a vsearch uclust usearch BIOM file      ,biom_from_uc,"txt,fasta",Create a BIOM table,biom1
93,a BIOM table,, Normalize the values of a BIOM table through various methods  Relative abundance will take the relative abundance of each observation in terms of samples or observations   Presence absensece will convert observations to 1 s and 0 s based on presence of the observation      ,biom_normalize_table,biom1,Normalize,biom1
