,description,help,id,inputs,name,outputs
29,"
        mass spectrometry imaging preprocessing
    ",          Cardinal is an R package that implements statistical   computational tools for analyzing mass spectrometry imaging datasets     Preprocessing steps       Smoothening  Smoothing of the mass peaks reduces noise and improves peak detection   Normalization  Normalization of intensities to total ion current  TIC    Baseline reduction  Baseline  reduction removes backgroundintensity generated by chemical noise  common in MALDI datasets    Peak picking  relevant peaks are picked while noise peaks are removed   Peak alignment  mz inaccuracies are removed by alignment of same peaks to a common mz value   Peak filtering  removes peaks that occur infrequently  such as those which only occur in a small proportion of pixels              ,mass_spectrometry_imaging_preprocessing,"imzml,rdata,analyze75",MSI preprocessing,"rdata,tabular"
30,"
        mass spectrometry imaging QC
    ",          Quality control for maldi imaging mass spectrometry data    Input data  3 types of input data can be used     imzml file  upload imzml and ibd file via the  composite  function   Introduction to the imzml format   org wp introduction       Analyze7 5  upload hdr  img and t2m file via the  composite  function    Cardinal  MSImageSet  data  with variable name  msidata   saved as ,mass_spectrometry_imaging_qc,"imzml, rdata, analyze75,txt, csv,txt,csv",MSI Qualitycontrol,pdf
31,"
        mass spectrometry imaging mass spectra plots
    ",  Returns a full mass spectrum plot and peaklist output with masses and intensities for the chosen pixel  Input needs the x and the y coordinates of the pixel of interest   Additionally zoom into mass spectra plots is possible by providing the minimum and maximum mz value to define the limits of the plot    To have a visual control that the right pixel was chosen  a heatmap of a mass in Dalton which can be specified will be plotted and two intersecting lines will show where the chosen pixel is located in the ion image,mass_spectrometry_imaging_mzplots,"imzml,rdata,analyze75",MSI massspectra,"pdf,tabular"
32,Extract mzIdentML and associated proteomics datasets into a SQLite DB,     mz to sqlite  converts proteomics file formats to a SQLite database         ,mz_to_sqlite,"mzid,mzml,mgf,fasta,uniprotxml",mz to sqlite,mz.sqlite
33,Match MS signals to molecules from a database by mass.,Match MS signals to molecules from a database by mass    For more information  visit  mi fu berlin,AccurateMassSearch,"featurexml,consensusxml,tabular",AccurateMassSearch,"tabular,input"
34,Computes an additive series to quantify a peptide in a set of samples.,Computes an additive series to quantify a peptide in a set of samples    For more information  visit  mi fu berlin,AdditiveSeries,featurexml,AdditiveSeries,xml
35,Removes the baseline from profile spectra using a top-hat filter.,Removes the baseline from profile spectra using a top hat filter    For more information  visit  mi fu berlin,BaselineFilter,mzml,BaselineFilter,mzml
36,A tool for visualization and validation of PSI mapping and CV files.,A tool for visualization and validation of PSI mapping and CV files    For more information  visit  mi fu berlin,CVInspector,"obo,xml",CVInspector,html
37,Annotates MS/MS spectra using Comet.,Annotates MS MS spectra using Comet    For more information  visit  mi fu berlin,CometAdapter,"mzml,fasta,txt",CometAdapter,"idxml,tabular"
38,Performs a de novo peptide identification using the CompNovo engine.,Performs a de novo peptide identification using the CompNovo engine    For more information  visit  mi fu berlin,CompNovo,mzml,CompNovo,idxml
39,Performs a de novo peptide identification using the CompNovo engine.,Performs a de novo peptide identification using the CompNovo engine    For more information  visit  mi fu berlin,CompNovoCID,mzml,CompNovoCID,idxml
40,Computes a consensus of peptide identifications of several identification engines.,Computes a consensus of peptide identifications of several identification engines    For more information  visit  mi fu berlin,ConsensusID,"idxml,featurexml,consensusxml",ConsensusID,input
41,Normalizes maps of one consensusXML file,Normalizes maps of one consensusXML file   For more information  visit  mi fu berlin de OpenMS release documentation html TOPP ConsensusMapNormalizer,ConsensusMapNormalizer,consensusxml,ConsensusMapNormalizer,consensusxml
42,Extracts spectra of an MS run file to several files in DTA format.,Extracts spectra of an MS run file to several files in DTA format    For more information  visit  mi fu berlin,DTAExtractor,mzml,DTAExtractor,txt
43,Filters a protein database (FASTA format) based on identified proteins,Filters a protein database  FASTA format  based on identified proteins   For more information  visit  mi fu berlin de OpenMS release documentation html UTILS DatabaseFilter,DatabaseFilter,"fasta,idxml,mzid",DatabaseFilter,fasta
44,Orders the spectra of MALDI spotting plates correctly.,Orders the spectra of MALDI spotting plates correctly    For more information  visit  mi fu berlin,DeMeanderize,mzml,DeMeanderize,mzml
45,Decharges and merges different feature charge variants of the same peptide.,Decharges and merges different feature charge variants of the same peptide    For more information  visit  mi fu berlin,Decharger,featurexml,Decharger,"consensusxml,featurexml"
46,Create decoy protein DB from forward protein DB.,Create decoy protein DB from forward protein DB    For more information  visit  mi fu berlin,DecoyDatabase,fasta,DecoyDatabase,fasta
47,Digests a protein database in-silico.,Digests a protein database in silico    For more information  visit  mi fu berlin,Digestor,fasta,Digestor,fasta
48,digests a protein database in-silico,digests a protein database in silico   For more information  visit  mi fu berlin de OpenMS release documentation html UTILS DigestorMotif,DigestorMotif,fasta,DigestorMotif,idxml
49,Extracts intensities from dedicates positions in a LC/MS map,Extracts intensities from dedicates positions in a LC MS map   For more information  visit  mi fu berlin de OpenMS release documentation html TOPP EICExtractor,EICExtractor,"mzml,txt,tabular",EICExtractor,"tabular,mzml"
50,Util which can be used to evaluate pair ratios on enhanced resolution (zoom) scans.,Util which can be used to evaluate pair ratios on enhanced resolution  zoom  scans    For more information  visit  mi fu berlin,ERPairFinder,"mzml,txt",ERPairFinder,"consensusxml,featurexml"
51,Applies an external mass recalibration.,Applies an external mass recalibration    For more information  visit  mi fu berlin,ExternalCalibration,mzml,ExternalCalibration,mzml
52,Evaluation tool for feature detection algorithms.,Evaluation tool for feature detection algorithms    For more information  visit  mi fu berlin,FFEval,featurexml,FFEval,"featurexml,tabular"
53,Estimates the false discovery rate on peptide and protein level using decoy searches.,Estimates the false discovery rate on peptide and protein level using decoy searches    For more information  visit  mi fu berlin,FalseDiscoveryRate,idxml,FalseDiscoveryRate,idxml
54,Detects two-dimensional features in LC-MS data.,Detects two dimensional features in LC MS data    For more information  visit  mi fu berlin,FeatureFinderCentroided,"mzml,featurexml",FeatureFinderCentroided,"featurexml,mzq"
55,Detects features in MS1 data based on peptide identifications.,Detects features in MS1 data based on peptide identifications    For more information  visit  mi fu berlin,FeatureFinderIdentification,"mzml,idxml,featurexml",FeatureFinderIdentification,"featurexml,traml,mzml,tabular"
56,Detects two-dimensional features in LC-MS data.,Detects two dimensional features in LC MS data    For more information  visit  mi fu berlin,FeatureFinderIsotopeWavelet,mzml,FeatureFinderIsotopeWavelet,featurexml
57,Detects two-dimensional features in LC-MS data.,Detects two dimensional features in LC MS data    For more information  visit  mi fu berlin,FeatureFinderMRM,mzml,FeatureFinderMRM,featurexml
58,Assembles metabolite features from centroided (LC-)MS data using the mass trace approach.,Assembles metabolite features from centroided  LC  MS data using the mass trace approach    For more information  visit  mi fu berlin,FeatureFinderMetabo,mzml,FeatureFinderMetabo,"featurexml,mzml"
59,Determination of peak ratios in LC-MS data,Determination of peak ratios in LC MS data   For more information  visit  mi fu berlin de OpenMS release documentation html TOPP FeatureFinderMultiplex,FeatureFinderMultiplex,mzml,FeatureFinderMultiplex,"consensusxml,featurexml,mzq"
60,Finds mass spectrometric features in mass spectra.,Finds mass spectrometric features in mass spectra    For more information  visit  mi fu berlin,FeatureFinderSuperHirn,mzml,FeatureFinderSuperHirn,featurexml
61,Groups corresponding isotope-labeled features in a feature map.,Groups corresponding isotope labeled features in a feature map    For more information  visit  mi fu berlin,FeatureLinkerLabeled,featurexml,FeatureLinkerLabeled,consensusxml
62,Groups corresponding features from multiple maps.,Groups corresponding features from multiple maps    For more information  visit  mi fu berlin,FeatureLinkerUnlabeled,"featurexml,consensusxml,tabular",FeatureLinkerUnlabeled,consensusxml
63,Groups corresponding features from multiple maps.,Groups corresponding features from multiple maps    For more information  visit  mi fu berlin,FeatureLinkerUnlabeledKD,"featurexml,consensusxml,tabular",FeatureLinkerUnlabeledKD,consensusxml
64,Groups corresponding features from multiple maps.,Groups corresponding features from multiple maps    For more information  visit  mi fu berlin,FeatureLinkerUnlabeledQT,"featurexml,consensusxml,tabular",FeatureLinkerUnlabeledQT,consensusxml
65,Runs the protein inference engine Fido.,Runs the protein inference engine Fido    For more information  visit  mi fu berlin,FidoAdapter,idxml,FidoAdapter,idxml
66,Converts between different MS file formats.,Converts between different MS file formats    For more information  visit  mi fu berlin,FileConverter,"mzData,mzxml,mzml,cachedMzML,dta,dta2d,mgf,featurexml,consensusxml,ms2,fid,tabular,peplist,kroenik,tabular",FileConverter,
67,"Extracts or manipulates portions of data from peak, feature or consensus-feature files.",Extracts or manipulates portions of data from peak  feature or consensus feature files    For more information  visit  mi fu berlin,FileFilter,"mzml,featurexml,consensusxml,consensusxml,idxml",FileFilter,input
68,"Shows basic information about the file, such as data ranges and file type.",Shows basic information about the file  such as data ranges and file type    For more information  visit  mi fu berlin,FileInfo,"mzData,mzxml,mzml,dta,dta2d,mgf,featurexml,consensusxml,idxml,pepxml,fid,mzid,trafoxml,fasta",FileInfo,"txt,tabular"
69,Merges several MS files into one file.,Merges several MS files into one file    For more information  visit  mi fu berlin,FileMerger,"mzData,mzxml,mzml,dta,dta2d,mgf,featurexml,consensusxml,fid,traml,fasta",FileMerger,"featurexml,trafoxml"
70,"Compares two files, tolerating numeric differences.",Compares two files  tolerating numeric differences    For more information  visit  mi fu berlin,FuzzyDiff,txt,FuzzyDiff,txt
71,Corrects the precursor mass and charge determined by the instrument software.,Corrects the precursor mass and charge determined by the instrument software    For more information  visit  mi fu berlin,HighResPrecursorMassCorrector,"mzml,featurexml",HighResPrecursorMassCorrector,"mzml,tabular"
72,Resolves ambiguous annotations of features with peptide identifications,Resolves ambiguous annotations of features with peptide identifications   For more information  visit  mi fu berlin de OpenMS release documentation html TOPP IDConflictResolver,IDConflictResolver,"featurexml,consensusxml",IDConflictResolver,input
73,"Estimates peptide probabilities using a decoy search strategy.
WARNING: This util is deprecated.",Estimates peptide probabilities using a decoy search strategy  WARNING  This util is deprecated    For more information  visit  mi,IDDecoyProbability,idxml,IDDecoyProbability,idxml
74,Extracts 'n' peptides randomly or best 'n' from idXML files.,Extracts  n  peptides randomly or best  n  from idXML files    For more information  visit  mi fu berlin,IDExtractor,idxml,IDExtractor,idxml
75,Converts identification engine file formats.,Converts identification engine file formats    For more information  visit  mi fu berlin,IDFileConverter,"pepxml,protXML,mascotXML,omssaXML,xml,psms,tabular,idxml,mzid,mzml,mzxml,mzData",IDFileConverter,
76,Filters results from protein or peptide identification engines based on different criteria.,Filters results from protein or peptide identification engines based on different criteria    For more information  visit  mi fu berlin,IDFilter,"idxml,fasta",IDFilter,idxml
77,Assigns protein/peptide identifications to features or consensus features.,Assigns protein peptide identifications to features or consensus features    For more information  visit  mi fu berlin,IDMapper,"mzid,idxml,featurexml,consensusxml,mzq,mzml",IDMapper,
78,Calculates a distribution of the mass error from given mass spectra and IDs.,Calculates a distribution of the mass error from given mass spectra and IDs    For more information  visit  mi fu berlin,IDMassAccuracy,"mzml,idxml",IDMassAccuracy,tabular
79,Merges several protein/peptide identification files into one file.,Merges several protein peptide identification files into one file    For more information  visit  mi fu berlin,IDMerger,idxml,IDMerger,idxml
80,Estimates probabilities for incorrectly assigned peptide sequences and a set of search engine scores using a mixture model.,Estimates probabilities for incorrectly assigned peptide sequences and a set of search engine scores using a mixture model    For more information  visit  mi fu berlin,IDPosteriorErrorProbability,idxml,IDPosteriorErrorProbability,"idxml,txt"
81,Can be used to calibrate RTs of peptide hits linearly to standards.,Can be used to calibrate RTs of peptide hits linearly to standards    For more information  visit  mi fu berlin,IDRTCalibration,idxml,IDRTCalibration,idxml
82,Split protein/peptide identification file into several files according to annotated file origin.,Split protein peptide identification file into several files according to annotated file origin    For more information  visit  mi fu berlin,IDRipper,idxml,IDRipper,idxml
83,Switches between different scores of peptide or protein hits in identification data,Switches between different scores of peptide or protein hits in identification data   For more information  visit  mi fu berlin de OpenMS release documentation html UTILS IDScoreSwitcher,IDScoreSwitcher,idxml,IDScoreSwitcher,idxml
84,Splits protein/peptide identifications off of annotated data files,Splits protein peptide identifications off of annotated data files   For more information  visit  mi fu berlin de OpenMS release documentation html UTILS IDSplitter,IDSplitter,"mzml,featurexml,consensusxml",IDSplitter,"input,idxml"
85,Creates inclusion and/or exclusion lists.,Creates inclusion and or exclusion lists    For more information  visit  mi fu berlin,InclusionExclusionListCreator,"featurexml,fasta,featurexml,idxml,fasta,txt,mzml",InclusionExclusionListCreator,tabular
86,Annotates MS/MS spectra using Inspect.,Annotates MS MS spectra using Inspect    For more information  visit  mi fu berlin,InspectAdapter,"mzxml,mzData,txt",InspectAdapter,"idxml,data"
87,Applies an internal mass recalibration.,Applies an internal mass recalibration    For more information  visit  mi fu berlin,InternalCalibration,"mzml,txt,idxml,featurexml,tabular",InternalCalibration,"mzml,tabular,png"
88,Calculates isobaric quantitative values for peptides,Calculates isobaric quantitative values for peptides   For more information  visit  mi fu berlin de OpenMS release documentation html TOPP IsobaricAnalyzer,IsobaricAnalyzer,mzml,IsobaricAnalyzer,consensusxml
89, Evaluation tool for isotope-labeled quantitation experiments., Evaluation tool for isotope labeled quantitation experiments    For more information  visit  mi fu berlin,LabeledEval,"featurexml,consensusxml",LabeledEval,txt
90,Finds mass spectrometric peaks in profile mass spectra.,Finds mass spectrometric peaks in profile mass spectra    For more information  visit  mi fu berlin,LowMemPeakPickerHiRes,mzml,LowMemPeakPickerHiRes,mzml
91,Finds mass spectrometric peaks in profile mass spectra.,Finds mass spectrometric peaks in profile mass spectra    For more information  visit  mi fu berlin,LowMemPeakPickerHiRes_RandomAccess,mzml,LowMemPeakPickerHiResRandomAccess,mzml
92,Modification site localisation using LuciPHOr2.,Modification site localisation using LuciPHOr2    For more information  visit  mi fu berlin,LuciphorAdapter,"mzml,idxml",LuciphorAdapter,idxml
93,MRMMapper maps measured chromatograms (mzML) and the transitions used (TraML),MRMMapper maps measured chromatograms  mzML  and the transitions used  TraML    For more information  visit  mi fu berlin de OpenMS release documentation html TOPP MRMMapper,MRMMapper,"mzml,traml",MRMMapper,mzml
94,Util which can be used to evaluate labeled pair ratios on MRM features.,Util which can be used to evaluate labeled pair ratios on MRM features    For more information  visit  mi fu berlin,MRMPairFinder,"featurexml,tabular",MRMPairFinder,"consensusxml,featurexml"
95,Picks peaks in SRM/MRM chromatograms.,Picks peaks in SRM MRM chromatograms    For more information  visit  mi fu berlin,MRMTransitionGroupPicker,"mzml,tabular,traml",MRMTransitionGroupPicker,featurexml
96,MS/MS database search using MS-GF+.,MS MS database search using MS GF     For more information  visit  mi fu berlin,MSGFPlusAdapter,"mzml,mzxml,mgf,ms2,fasta",MSGFPlusAdapter,"idxml,mzid"
97,A highly configurable simulator for mass spectrometry experiments.,A highly configurable simulator for mass spectrometry experiments    For more information  visit  mi fu berlin,MSSimulator,fasta,MSSimulator,"mzml,featurexml,consensusxml,idxml"
98,Corrects retention time distortions between maps based on common peptide identifications.,Corrects retention time distortions between maps based on common peptide identifications    For more information  visit  mi fu berlin,MapAlignerIdentification,"featurexml,consensusxml,idxml,tabular",MapAlignerIdentification,"input,trafoxml"
99,Corrects retention time distortions between maps using a pose clustering approach.,Corrects retention time distortions between maps using a pose clustering approach   For more information  visit  mi fu berlin,MapAlignerPoseClustering,"mzML,featureXML",MapAlignerPoseClustering,
100,Corrects retention time distortions between maps by spectrum alignment.,Corrects retention time distortions between maps by spectrum alignment    For more information  visit  mi fu berlin,MapAlignerSpectrum,mzml,MapAlignerSpectrum,"mzml,trafoxml"
101,Normalizes peak intensities in an MS run.,Normalizes peak intensities in an MS run    For more information  visit  mi fu berlin,MapNormalizer,mzml,MapNormalizer,mzml
102,Applies retention time transformations to maps.,Applies retention time transformations to maps    For more information  visit  mi fu berlin,MapRTTransformer,"mzml,featurexml,consensusxml,idxml,trafoxml",MapRTTransformer,"input,trafoxml"
103,Extract extended statistics on the features of a map for quality control.,Extract extended statistics on the features of a map for quality control    For more information  visit  mi fu berlin,MapStatistics,"featurexml,consensusxml",MapStatistics,txt
104,Annotates MS/MS spectra using Mascot.,Annotates MS MS spectra using Mascot    For more information  visit  mi fu berlin,MascotAdapter,txt,MascotAdapter,data
105,Annotates MS/MS spectra using Mascot.,Annotates MS MS spectra using Mascot    For more information  visit  mi fu berlin,MascotAdapterOnline,mzml,MascotAdapterOnline,idxml
106,Calculates masses and mass-to-charge ratios of peptide sequences,Calculates masses and mass to charge ratios of peptide sequences   For more information  visit  mi fu berlin de OpenMS release documentation html UTILS MassCalculator,MassCalculator,txt,MassCalculator,txt
107,Detects mass traces in centroided LC-MS data.,Detects mass traces in centroided LC MS data    For more information  visit  mi fu berlin,MassTraceExtractor,mzml,MassTraceExtractor,featurexml
108,Performs proteinSIP on peptide features for elemental flux analysis.,Performs proteinSIP on peptide features for elemental flux analysis    For more information  visit  mi fu berlin,MetaProSIP,"mzml,fasta,featurexml",MetaProSIP,tabular
109,Decharges and merges different feature charge variants of the same metabolite.,Decharges and merges different feature charge variants of the same metabolite    For more information  visit  mi fu berlin,MetaboliteAdductDecharger,featurexml,MetaboliteAdductDecharger,"consensusxml,featurexml"
110,Perform a spectral library search.,Perform a spectral library search    For more information  visit  mi fu berlin,MetaboliteSpectralMatcher,mzml,MetaboliteSpectralMatcher,tabular
111,Completes peptide multiplets and resolves conflicts within them.,Completes peptide multiplets and resolves conflicts within them    For more information  visit  mi fu berlin,MultiplexResolver,consensusxml,MultiplexResolver,consensusxml
112,Splits an mzML file into multiple parts,Splits an mzML file into multiple parts   For more information  visit  mi fu berlin de OpenMS release documentation html UTILS MzMLSplitter,MzMLSplitter,mzml,MzMLSplitter,txt
113,Exports various XML formats to an mzTab file.,Exports various XML formats to an mzTab file    For more information  visit  mi fu berlin,MzTabExporter,"featurexml,consensusxml,idxml,mzid",MzTabExporter,tabular
114,Removes noise from profile spectra by using Gaussian filter (on uniform as well as non-uniform data).,Removes noise from profile spectra by using Gaussian filter  on uniform as well as non uniform data     For more information  visit  mi fu berlin,NoiseFilterGaussian,mzml,NoiseFilterGaussian,mzml
115,Removes noise from profile spectra by using a Savitzky Golay filter. Requires uniform (equidistant) data.,Removes noise from profile spectra by using a Savitzky Golay filter  Requires uniform  equidistant  data    For more information  visit  mi,NoiseFilterSGolay,mzml,NoiseFilterSGolay,mzml
