,description,edam_topics,help,id,inputs,name,outputs
52,annotate coverage of features from multiple files,,bedtools annotate  well  annotates one BED VCF GFF file with the coverage and number of overlaps observed from multiple other BED VCF GFF files  In this way  it allows one to ask to what degree one feature coincides with multiple other feature types with a single command ,bedtools_annotatebed,"bed,vcf,gff,gff3,bed",AnnotateBed,bed
53,converter,,bedtools bamtobed is a conversion utility that converts sequence alignments in BAM format into BED  BED12  and or BEDPE records ,bedtools_bamtobed,bam,BAM to BED,bed
54,,,bedtools bamtofastq is a conversion utility for extracting FASTQ records from sequence alignments in BAM format ,bedtools_bamtofastq,bam,Convert from BAM to FastQ,fastq
55,converter,,bed12ToBed6 is a convenience tool that converts BED features in BED12  a k a   blocked  BED features such as genes  to discrete BED6 features  For example  in the case of a gene with six exons  bed12ToBed6 would create six separate BED6 features  i e   one for each exon  ,bedtools_bed12tobed6,bed,BED12 to BED6,bed
56,converter,,bedToBam converts features in a feature file to BAM format  This is useful as an efficient means of storing large genome annotations in a compact  indexed format for visualization purposes ,bedtools_bedtobam,bed,BED to BAM,bam
57,create batch script for taking IGV screenshots,,Creates a batch script to create IGV images at each interval defined in a BED GFF VCF file ,bedtools_bedtoigv,"bed,gff,gff3,vcf",BED to IGV,txt
58,converter,,Converts feature records to BAM format ,bedtools_bedpetobam,"bed,gff,vcf",BEDPE to BAM,bam
59,"find the closest, potentially non-overlapping interval",,Similar to intersectBed  closestBed searches for overlapping features in A and B  In the event that no feature in B overlaps the current feature in A  closestBed will report the closest  that is  least genomic distance from the start or end of A  feature in B  For example  one might want to find which is the closest gene to a significant GWAS polymorphism  Note that closestBed will report an overlapping feature as the closest that is  it does not restrict to closest non overlapping feature ,bedtools_closestbed,"bed,vcf,gff,gff3,bed,gff,vcf,gff3",ClosestBed,
60,cluster overlapping/nearby intervals,,Similar to merge  cluster report each set of overlapping or  book ended  features in an interval file  In contrast to merge  cluster does not flatten the cluster of intervals into a new meta interval  instead  it assigns an unique cluster ID to each record in each cluster  This is useful for having fine control over how sets of overlapping intervals in a single interval file are combined ,bedtools_clusterbed,"bed,vcf,gff,gff3",ClusterBed,
61,Extract intervals not represented by an interval file,,bedtools complement returns all intervals in a genome that are not covered by at least one interval in the input BED GFF VCF file ,bedtools_complementbed,"bed,vcf,gff,gff3",ComplementBed,
62,of features in file B on the features in file A (bedtools coverage),, bedtools coverage   computes both the  depth  and  breadth  of coverage of features in file B on the features in file A  For example    bedtools coverage   can compute the coverage of sequence alignments  file B  across 1 kilobase  arbitrary  windows  file A  tiling a genome of interest  One advantage that   bedtools coverage   offers is that it not only  counts  the number of features that overlap an interval in file A  it also computes the fraction of bases in the interval in A that were overlapped by one or more features  Thus    bedtools coverage   also computes the  breadth  of coverage for each interval in A ,bedtools_coveragebed,"bam,bed,gff,gff3,vcf",Compute both the depth and breadth of coverage,bed
63,replicate lines based on lists of values in columns,,Replicate lines in a file based on columns of comma separated values ,bedtools_expandbed,"bed,vcf,gff,gff3",ExpandBed,
64,calculate Fisher statistic between two feature files,,Perform fisher s exact test on the number of overlaps unique intervals between 2 files ,bedtools_fisher,"bed,vcf,gff,gff3,bed,gff,vcf,gff3",FisherBed,
65,create new intervals from the flanks of existing intervals,,bedtools flank will optionally create flanking intervals whose size is user specified fraction of the original interval ,bedtools_flankbed,"bed,vcf,gff,gff3",FlankBed,
66,compute the coverage over an entire genome,,This tool calculates the genome wide coverage of intervals defined in a BAM or BED file and reports them in BedGraph format ,bedtools_genomecoveragebed,"bed,vcf,gff,gff3,bam",Genome Coverage,bedgraph
67,use intervals to extract sequences from a FASTA file,,bedtools getfasta will extract the sequence defined by the coordinates in a BED interval and create a new FASTA entry in the output file for each extracted sequence  By default  the FASTA header for each extracted sequence will be formatted as follows    chrom   lt start   lt end   ,bedtools_getfastabed,"bed,vcf,gff,gff3,fasta",GetFastaBed,fasta
68,group by common cols and summarize other cols,,Replicate lines in a file based on columns of comma separated values ,bedtools_groupbybed,bed,GroupByBed,
69,find overlapping intervals in various ways,,By far  the most common question asked of two sets of genomic features is whether or not any of the features in the two sets  overlap  with one another  This is known as feature intersection  bedtools intersect allows one to screen for overlaps between two sets of genomic features  Moreover  it allows one to have fine control as to how the intersections are reported  bedtools intersect works with both BED GFF VCF and BAM files as input ,bedtools_intersectbed,"bed,bam,vcf,gff,gff3,bam,bed,gff,gff3,vcf",Intersect intervals,
70,calculate the distribution of relative distances between two files,,By default  bedtools jaccard reports the length of the intersection  the length of the union  minus the intersection   the final Jaccard statistic reflecting the similarity of the two sets  as well as the number of intersections  Whereas the bedtools intersect tool enumerates each an every intersection between two sets of genomic intervals  one often needs a single statistic reflecting the similarity of the two sets based on the intersections between them  The Jaccard statistic is used in set theory to represent the ratio of the intersection of two sets to the union of the two sets  Similarly  Favorov et al  1  reported the use of the Jaccard statistic for genome intervals  specifically  it measures the ratio of the number of intersecting base pairs between two sets to the number of base pairs in the union of the two sets  The bedtools jaccard tool implements this statistic  yet modifies the statistic such that the length of the intersection is subtracted from the length of the union  As a result  the final statistic ranges from 0 0 to 1 0  where 0 0 represents no overlap and 1 0 represent complete overlap ,bedtools_jaccard,"bed,vcf,gff,gff3",JaccardBed,
71,create a HTML page of links to UCSC locations,,Creates an HTML file with links to an instance of the UCSC Genome Browser for all features   intervals in a file  This is useful for cases when one wants to manually inspect through a large set of annotations or features ,bedtools_links,"bed,vcf,gff,gff3",LinksBed,html
72,make interval windows across a genome,,Makes adjacent or sliding windows across a genome or BED file ,bedtools_makewindowsbed,"bed,vcf,gff,gff3",MakeWindowsBed,bed
73,apply a function to a column for each overlapping interval,,bedtools map allows one to map overlapping features in a B file onto features in an A file and apply statistics and or summary operations on those features ,bedtools_map,"bam,bed,vcf,gff,gff3,bam,bed,gff,vcf,gff3",MapBed,
74,use intervals to mask sequences from a FASTA file,,bedtools maskfasta masks sequences in a FASTA file based on intervals defined in a feature file  The headers in the input FASTA file must exactly match the chromosome column in the feature file  This may be useful fro creating your own masked genome file based on custom annotations or for masking all but your target regions when aligning sequence data from a targeted capture experiment ,bedtools_maskfastabed,"bed,vcf,gff,gff3,fasta",MaskFastaBed,fasta
75,combine overlapping/nearby intervals into a single interval,,bedtools merge combines overlapping or  book ended  features in an interval file into a single feature which spans all of the combined features ,bedtools_mergebed,"bam,bed,gff,vcf",MergeBED,bed
76,counts coverage from multiple BAMs at specific intervals,,bedtools multicov  reports the count of alignments from multiple position sorted and indexed BAM files that overlap intervals in a BED file  Specifically  for each BED interval provided  it reports a separate count of overlapping alignments from each BAM file ,bedtools_multicovtbed,"bed,bam",MultiCovBed,
77,identifies common intervals among multiple interval files,,This tool identifies common intervals among multiple  sorted BED files  Intervals can be common among 0 to N of the N input BED files ,bedtools_multiintersectbed,bed,Multiple Intersect,bed
78,profile the nucleotide content of intervals in a FASTA file,,Profiles the nucleotide content of intervals in a fasta file ,bedtools_nucbed,"bed,vcf,gff,gff3,fasta",NucBed,tabular
79,computes the amount of overlap from two intervals,,overlap computes the amount of overlap  in the case of positive values  or distance  in the case of negative values  between feature coordinates occurring on the same input line and reports the result at the end of the same line  In this way  it is a useful method for computing custom overlap scores from the output of other BEDTools ,bedtools_overlapbed,"bed,vcf,gff,gff3",OverlapBed,
80,generate random intervals in a genome,,bedtools random will generate a random set of intervals in BED6 format  One can specify both the number   n  and the size   l  of the intervals that should be generated ,bedtools_randombed,,RandomBed,bed
81,calculate the distribution of relative distances,,Traditional approaches to summarizing the similarity between two sets of genomic intervals are based upon the number or proportion of intersecting intervals  However  such measures are largely blind to spatial correlations between the two sets where  dpesite consistent spacing or proximity  intersections are rare  for example  enhancers and transcription start sites rarely overlap  yet they are much closer to one another than two sets of random intervals   Favorov et al proposed a relative distance metric that describes distribution of relative distances between each interval in one set nd the two closest intervals in another set  see figure above   If there is no spatial correlation between the two sets  one would expect the relative distances to be uniformaly distributed among the relative distances ranging from 0 to 0 5  If  however  the intervals tend to be much closer than expected by chance  the distribution of observed relative distances would be shifted towards low relative distance values  e g   the figure below  ,bedtools_reldistbed,"bed,bam,vcf,gff,gff3,bed,gff,vcf,gff3",ReldistBed,
82,randomly redistrubute intervals in a genome,,bedtools shuffle will randomly permute the genomic locations of a feature file among a genome defined in a genome file  One can also provide an  exclusions  BED GFF VCF file that lists regions where you do not want the permuted features to be placed  For example  one might want to prevent features from being placed in known genome gaps  shuffle is useful as a null basis against which to test the significance of associations of one feature with another ,bedtools_shufflebed,"bed,vcf,gff,gff3,bed",ShuffleBed,bed
83,adjust the size of intervals,,bedtools slop will increase the size of each feature in a feature file by a user defined number of bases  While something like this could be done with an awk   OFS   t  print  1  2  lt slop   3  lt slop     bedtools slop will restrict the resizing to the size of the chromosome  i e  no start  lt  0 and no end   chromosome size  ,bedtools_slopbed,"bed,vcf,gff,gff3",SlopBed,bed
84,order the intervals,,Sorts a feature file by chromosome and other criteria ,bedtools_sortbed,"bed,gff,gff3,vcf",SortBED,
85,reports the distances between features,,Report the spacing between intervals in a file ,bedtools_spacingbed,"bed,vcf,gff,gff3,bam",SpacingBed,
86,remove intervals based on overlaps,,bedtools subtract searches for features in B that overlap A  If an overlapping feature is found in B  the overlapping portion is removed from A and the remaining portion of A is reported  If a feature in B overlaps all of a feature in A  the A feature will not be reported ,bedtools_subtractbed,"bed,vcf,gff,gff3,bed,gff,vcf,gff3",SubtractBed,
87,tag BAM alignments based on overlaps with interval files,,Annotates a BAM file based on overlaps with multiple BED GFF VCF files on the intervals in an input bam file,bedtools_tagbed,"bam,bed,gff,vcf",TagBed,bam
88,combines coverage intervals from multiple BEDGRAPH files,,This tool merges multiple BedGraph files  allowing direct and fine scale coverage comparisons among many samples files  The BedGraph files need not represent the same intervals  the tool will identify both common and file specific intervals  In addition  the BedGraph values need not be numeric  one can use any text as the BedGraph value and the tool will compare the values from multiple files ,bedtools_unionbedgraph,bedgraph,Merge BedGraph files,bedgraph
89,find overlapping intervals within a window around an interval,,Similar to bedtools intersect  window searches for overlapping features in A and B  However  window adds a specified number  1000  by default  of base pairs upstream and downstream of each feature in A  In effect  this allows features in B that are  near  features in A to be detected ,bedtools_windowbed,"bed,bam,vcf,gff,gff3,bed,gff,vcf,gff3",WindowBed,
90,to a BIOM table,,,biom_add_metadata,"biom1,tabular",Add metadata,biom1
91,between BIOM table formats,,,biom_convert,"tabular,biom1",Convert,biom1
92,from a vsearch/uclust/usearch BIOM file,,,biom_from_uc,"txt,fasta",Create a BIOM table,biom1
93,a BIOM table,,,biom_normalize_table,biom1,Normalize,biom1
94,a BIOM table,,,biom_subset_table,"biom1,text,tabular",Subset,biom1
95,in a BIOM table,,,biom_summarize_table,biom1,Summarize sample or observation data,text
96,converter,,This tool uses Bio  SeqFeature  Tools  Unflattener and Bio  Tools  GFF to convert GenBank flatfiles to GFF3 with gene containment hierarchies mapped for optimal display in gbrowse ,bp_genbank2gff3,genbank,Genbank to GFF3,gff3
97,,,Convert BlastXML results into GFF3 format ,blastxml_to_gapped_gff3,blastxml,BlastXML to gapped GFF3,gff3
98,- map reads against reference genome,,,bowtie2,"fastqsanger,fastqsanger.gz,fastqsanger.bz2,fasta,fasta",Bowtie2,"fastqsanger,bam,sam,txt"
99,assess genome assembly and annotation completeness,,,busco,"fasta,augustus",Busco,"txt,tabular"
100,- map medium and long reads (> 100 bp) against reference genome,,,bwa_mem,"fastqsanger,fastqsanger.gz,fasta",Map with BWA-MEM,bam
101,- map short reads (< 100 bp) against reference genome,,,bwa,"fastqsanger,fastqsanger.gz,fasta,bam",Map with BWA,bam
102,Fast and accurate aligner of BS-Seq reads.,,BWA meth performs alignment of reads in a bisulfite sequencing experiment  e g   RRBS or WGBS  to a genome  The methodology employed for this is similar to bismark  where both the reads and the reference genome are  in silico  converted prior to alignment  Methylation extraction on the resulting BAM file can be done with the PileOMeth tool ,bwameth,"fasta,fastqsanger,fastqsanger.gz,fastqsanger.bz2",bwameth,bam
103,creates circos plots from standard bioinformatics datatypes.,,,circgraph,"bed6,bed12,fasta,tabular,txt,bed6,bed12,wig,gff3,bed6,bed12,gff3,txt",Circos Builder,"png,svg,tar.gz"
104,"
        Detects positive selection (paml package)
    ",,,codeml,"fasta,nhx",codeML,txt
105,COmpare Multiple METagenomes,,,commet,"fasta, fastq",Commet,"csv,png"
106,discovering polymorphism from raw unassembled RADSeq NGS reads.,,,discosnp_rad,,DiscoSnpRAD,"vcf,fasta"
107,is an efficient tool for detecting SNPs without a reference genome.,,,discosnp_pp,"fasta,fastq",DiscoSnp++,"vcf,fasta"
108,"is a local transcriptome assembler for SNPs, indels and AS events",,,kissplice,"fasta,fastq",KisSplice,fasta
109,is a set a programs for correcting sequencing errors in PacBio reads,,,lordec,"fasta,fastq.gz,fastq",Lordec,"fasta,tabular"
110,is a targeted assembly software,,,mapsembler2,"fasta,fasta,fastq",Mapsembler2,fasta
111,is a tool that can detect inversion breakpoints directly from raw NGS reads,,,takeabreak,"fasta,fastq",TakeABreak,fasta
112,on Collections,,,collection_column_join,tabular,Column Join,"tabular,txt"
113,"
        by heading
    ",,,column_order_header_sort,tabular,Sort Column Order,tabular
114,"
        by heading
    ",,,column_remove_by_header,tabular,Remove columns,tabular
115,Provide mapping statistics,,This tool creates a coverage report for QC purposes  By default  average coverage statistics are provided  taken from samtools flagstats  If specified  it can also create overviews per gene in the BED file  and sub exon plots for failed exons  ,CoverageReport2,"bam,bed",Panel Coverage Report,pdf
116,Convert genome coordinates or annotation files between genome assemblies,,,crossmap_bam,bam,CrossMap BAM,bam
117,Convert genome coordinates or annotation files between genome assemblies,,,crossmap_bed,bed,CrossMap BED,bed
118,Convert genome coordinates or annotation files between genome assemblies,,,crossmap_bw,bigwig,CrossMap BigWig,bigwig
119,Convert genome coordinates or annotation files between genome assemblies,,,crossmap_gff,"gtf,gff,gff3",CrossMap GFF,gff
120,Convert genome coordinates or annotation files between genome assemblies,,,crossmap_vcf,"vcf,fasta",CrossMap VCF,vcf
121,Convert genome coordinates or annotation files between genome assemblies,,,crossmap_wig,wig,CrossMap Wig,"wig,bedgraph"
122,find matched pairs and unmatched orphans,,CWPair accepts one or more gff files as input and takes the peak location to be the midpoint between the exclusion zone start and end coordinate  columns D and E    CWPair starts with the highest peak  primary peak  in the dataset  and then looks on the opposite strand for another peak located within the distance defined by a combination of the tool s   Distance upstream from a peak to allow a pair    the distance upstream or 5  to the primary peak  and   Distance downstream from a peak to allow a pair    the distance downstream or 3  to the primary peak  parameters   So  upstream  value 30  downstream  value 20 makes the tool look 30 bp upstream and 20 bp downstream  inclusive    Consequently  the search space would be 51 bp  since it includes the primary peak coordinate   The use of a negative number changes the direction of the search limits   So   upstream   30 and  downstream  20 produces an 11 bp downstream search window  20 30 bp downstream  inclusive  ,cwpair2,gff,CWPair2,tabular
123,server,,,data_source_iris_tcga,,IRIS-TCGA,auto
124,(operations on tabular data),,This tools performs common operations  such as summing  counting  mean  standard deviation  on input file  based on tabular data  The tool can also optionaly group the input based on a given field ,datamash_ops,,Datamash,
125,columns in a tabular file,,This tools reverses the order of columns in a tabular input file ,datamash_reverse,,Reverse,
126,rows/columns in a tabular file,,This tools transposes  swaps  rows columns in a tabular input file ,datamash_transpose,,Transpose,
127,Determines differentially expressed features from count tables,,Estimate variance mean dependence in count data from high throughput sequencing assays and test for differential expression based on a model using the negative binomial distribution,deseq2,"tabular,gtf",DESeq2,"tabular,pdf"
128,Determines differential exon usage from count tables,,Inference of differential exon usage in RNA Seq ,dexseq,"gtf,gff,tabular",DEXSeq,"tabular,html"
129,Prepare and count exon abundancies from RNA-seq data,,The main goal of this tol is to count the number of reads fragments per exon of each gene in RNA seq sample  In addition it also prepares your annotation gtf file compatible for counting ,dexseq_count,"gff,bam",DEXSeq-Count,"tabular,gtf"
130,to assemble metagenomics data using an overlap-layout-consensus (OLC) approach,,,disco,"fastq,fasta",DISCO,"txt,fasta"
131,from EBI Metagenomics database,,The European Bioinformatics Institute  EMBL EBI  maintains the world s most comprehensive range of freely available and up to date molecular databases,ebi_metagenomics_run_downloader,,Download run data,"fasta,tsv,csv,newick"
132,to obtain search results on resources and services hosted at the EBI,,The European Bioinformatics Institute  EMBL EBI  maintains the world s most comprehensive range of freely available and up to date molecular databases ,ebi_search_rest_results,,EBI Search,tabular
133,"
        Perform differential expression of count data
    ",,Given a counts matrix  or a set of counts files  for example from   featureCounts    and optional information about the genes  this tool produces plots and tables useful in the analysis of differential gene expression ,edger,tabular,edgeR,html
134, easy and efficient ensemble gene set testing,,EGSEA   an acronym for  Ensemble of Gene Set Enrichment Analyses   is a  Bioconductor package   that utilizes the analysis results of eleven prominent GSE algorithms from the literature to calculate collective significance scores for gene sets  These methods are currently    ora  globaltest  plage  safe  zscore  gage  ssgsea  roast  fry  padog  camera  gsva    The ora  gage  camera and gsva methods depend on a competitive null hypothesis while the remaining seven methods are based on a self contained hypothesis  EGSEA s gene set database  the   EGSEAdata   Bioconductor package  contains around 25 000 gene sets from 16 collections from MSigDB   KEGG  and GeneSetDB   Supported organisms are human  mouse and rat  however MSigDB is only available for human and mouse  An example  EGSEA workflow   is available at the Bioconductor workflows website ,egsea,tabular,EGSEA,"html,txt,rdata"
135,"Predicts potentially antigenic regions of a protein sequence, using the method of Kolaskar and Tongaonkar.",,,EMBOSS: antigenic1,data,antigenic,antigenic
136,Back translate a protein sequence,,,EMBOSS: backtranseq2,fasta,backtranseq,txt
137,Bending and curvature plot in B-DNA,,,EMBOSS: banana3,data,banana,txt
138,Replace or delete sequence sections,,,EMBOSS: biosed4,fasta,biosed,txt
139,Calculates the twisting in a B-DNA sequence,,,EMBOSS: btwisted5,data,btwisted,btwisted
140,CAI codon adaptation index,,,EMBOSS: cai6,fasta,cai,cai
141,CAI codon adaptation index using custom codon usage file,,,EMBOSS: cai_custom6,"fasta,txt",cai custom,txt
142,Create a chaos game representation plot for a sequence,,,EMBOSS: chaos7,data,chaos,png
143,Protein charge plot,,,EMBOSS: charge8,fasta,charge,charge
144,Reports STOP codons and ORF statistics of a protein,,,EMBOSS: checktrans9,fasta,checktrans,"checktrans,fasta,gff"
145,Codon usage statistics,,,EMBOSS: chips10,data,chips,chips
146,Draws circular maps of DNA constructs,,,EMBOSS: cirdna11,data,cirdna,png
147,Codon usage table comparison,,,EMBOSS: codcmp12,,codcmp,codcmp
148,"Extract CDS, mRNA and translations from feature tables",,,EMBOSS: coderet13,data,coderet,coderet
149,Count composition of dimer/trimer/etc words in a sequence,,,EMBOSS: compseq14,fasta,compseq,compseq
150,Plot CpG rich areas,,,EMBOSS: cpgplot15,data,cpgplot,"cpgplot,png,gff"
151,Reports all CpG rich regions,,,EMBOSS: cpgreport16,fasta,cpgreport,"cpgreport,gff"
152,Create a codon usage table,,,EMBOSS: cusp17,fasta,cusp,cusp
153,Removes a specified section from a sequence,,,EMBOSS: cutseq18,fasta,cutseq,fasta
154,Calculates DNA RNA/DNA melting temperature,,,EMBOSS: dan19,data,dan,dan
155,Removes gap characters from sequences,,,EMBOSS: degapseq20,data,degapseq,fasta
156,Alter the name or description of a sequence,,,EMBOSS: descseq21,data,descseq,fasta
157,Find differences between nearly identical sequences,,,EMBOSS: diffseq22,data,diffseq,"diffseq,gff"
158,Protein proteolytic enzyme or reagent cleavage digest,,,EMBOSS: digest23,data,digest,digest
159,Displays a thresholded dotplot of two sequences,,,EMBOSS: dotmatcher24,data,dotmatcher,png
160,Non-overlapping wordmatch dotplot of two sequences,,,EMBOSS: dotpath25,data,dotpath,png
161,Displays a wordmatch dotplot of two sequences,,,EMBOSS: dottup26,data,dottup,png
162,Regular expression search of a nucleotide sequence,,,EMBOSS: dreg27,data,dreg,dreg
163,Finds DNA inverted repeats,,,EMBOSS: einverted28,fasta,einverted,einverted
164,Finds PEST motifs as potential proteolytic cleavage sites,,,EMBOSS: epestfind29,data,epestfind,"png,epestfind"
165,Finds tandem repeats,,,EMBOSS: equicktandem31,fasta,equicktandem,"table,equicktandem"
166,Align EST and genomic DNA sequences,,,EMBOSS: est2genome32,"fasta,data",est2genome,est2genome
167,Looks for tandem repeats in a nucleotide sequence,,,EMBOSS: etandem33,fasta,etandem,"etandem,table"
168,Extract features from a sequence,,,EMBOSS: extractfeat34,data,extractfeat,fasta
169,Extract regions from a sequence,,,EMBOSS: extractseq35,data,extractseq,fasta
170,Residue/base frequency table or plot,,,EMBOSS: freak36,data,freak,freak
171,Nucleic acid pattern search,,,EMBOSS: fuzznuc37,fasta,fuzznuc,fuzznuc
172,Protein pattern search,,,EMBOSS: fuzzpro38,data,fuzzpro,fuzzpro
